date,alpha_00dc4068,alpha_19bbb24b,alpha_3d4b753b,alpha_48b8f5da,alpha_50838e22,alpha_508fadfe,alpha_50b8603e,alpha_57a5a332,alpha_5b9d327e,alpha_6e31e302,alpha_72c354e4,alpha_7514b4e5,alpha_82fa8747,alpha_931846b5,alpha_951423d0,alpha_a25f1309,alpha_b38fe0a9,alpha_e2ffe6bb,alpha_e570ed13,alpha_e9c23265,alpha_f8ee3701,alpha_fc131683
1990-01-23,,,,,,,,,,,,,,,,,0.19976093151795493,,,,,
1990-01-24,,,,,,,,,,,,,,,,,0.014056915660211642,,,0.07815089896901828,,
1990-01-25,,,,,,,,,,,,,,,,,0.22258084220476781,,,0.06905117543025426,,
1990-01-26,,,,,,,,,,,,,,,-0.1607355107727691,,-0.16628690798056614,,,-0.11907199814487353,,
1990-01-29,,,,,,,,,,,,,,,-0.10408517165038744,,-0.0515022106864017,,,-0.10581901612910743,,
1990-01-30,,,,,,,,,,,,,,,0.3338378947286558,,0.23950220749942538,,,0.3394760334740185,,
1990-01-31,,,,,,,,,,,,,,,0.043259020978095815,,0.08593420071830206,,,0.09372328679386793,,
1990-02-01,,,,,,,,,,,,,,,0.15671042675460153,,0.07487052591395926,,,0.14501161394084902,0.10500550553454363,
1990-02-02,,,,,,,,,,,,,,,0.2134252330746659,,0.11189096225341628,,,0.20167322610524663,0.19938353561914857,
1990-02-05,,,,,,,,,,,,,,,0.08876174468671984,,0.03336987413489349,,,0.09809728192802267,0.04816236912035337,
1990-02-06,,,,,,,,,,,,,,,-0.09114726444960007,,-0.16417902791684297,,,-0.13020545322239174,-0.1764108994507347,
1990-02-07,,,,,,,,,,,,,,,0.11313808602657019,,0.06130054488503084,,,0.08536281837229938,0.037607834376685974,
1990-02-08,,,,,,,,,,,,,,,0.09441764250915968,,-0.030886081173693493,,,0.08187971690304988,0.04338724827878194,
1990-02-09,,,,,,,,,,,,,,,0.15119584227727723,,0.036430446219948016,,,0.1621895427618027,0.10201690600459087,
1990-02-12,,,,,,,,,,,,,,,-0.06901664922829409,,0.04893790237922637,,,-0.039926740556980735,0.028324354908327885,
1990-02-13,,,,,,,,,,,,,,,0.12654445487916643,,0.13689124340834147,,,0.13456222227542855,0.1576891634574578,
1990-02-14,,,,,,,,,,,,,,,0.07434691628968824,,-0.05192203818981973,,,0.017780624085822132,-0.05014438263602778,
1990-02-15,,,,,,,,,,,,,,,0.1255148710317104,,0.11435936131915785,,,0.12628164556843555,0.13299541182449076,
1990-02-16,,,,,,,,,,,,,,,-0.04784659588084493,,-0.0038790570078833402,,,0.0035673290756649332,0.01842065856228124,
1990-02-20,,,,,,,,,,,,,,,-0.04847984871750804,,0.023699664499237393,,,0.0034652880271609657,0.01636720578142783,
1990-02-21,,,,,,,,,,,,,,,-0.022259164594055282,,-0.09865779556151986,,,-0.04950170041681365,-0.10117484844925108,
1990-02-22,,,,,,,,,,,,,,,-0.12110857629545084,,0.002989585615487508,,,-0.08966333155332384,-0.05355699921189783,
1990-02-23,,,,,,,,,,,,,,,-0.039692697954819264,,0.11310090758431425,,,-0.006392952338617771,0.07241162690186898,
1990-02-26,,,,,,,,,,,,,,,-0.051488764746976425,,0.013349707487834603,,,-0.04432555954677557,0.044486889867724526,
1990-02-27,,,,,,,,,,,,,,,0.05853915453388753,,-0.0699170707470504,,,0.10225261356224306,0.04495599696769123,
1990-02-28,-0.1819528700336715,,,,,,,,,,,,,,-0.020974157607044967,,-0.16407087944531729,,,-0.00992788504703496,-0.05450121740885733,
1990-03-01,-0.04717456378603118,,,,,,,,,,,,,,-0.006709105948938867,,-0.01135794477190152,,,-0.04197701406965219,-0.035302213321857547,
1990-03-02,0.09390408167020033,,,,,,,,,,,,,,-0.04146582836854821,,0.006342395704507824,,,-0.05618355736140337,0.006663861247006828,
1990-03-05,-0.17213323233388295,,,,,,,,,,,,,,0.02790673318626041,,0.010525955187678078,,,0.051410979337111,-0.023334231777484764,
1990-03-06,0.11056109742682622,,,,,,,,,,,,,,0.12797841101402097,,-0.005771304390784558,,,0.11066681165800558,0.05537134730088783,
1990-03-07,-0.12906296107582926,,,,,,,,,,,,,,-0.07940005097542298,,-0.10896453793781882,,,-0.04984146452462829,-0.05887364476405739,
1990-03-08,0.19809645903471246,,,,,,,,,,,,,,0.01600867627804346,,0.07191837596412702,,,0.05955541228955925,0.07623765141469671,
1990-03-09,-0.03517904870583953,,,,,,,,,,,,,,-0.16449740878318894,,-0.0427923792753688,,,-0.14684245158923742,-0.06990260870009292,
1990-03-12,-0.0017207652132616633,,,,-0.035412937906904446,,,,,,-0.045907816941244434,,,,-0.09444234484284908,,-0.056751223112080425,,,-0.0783520805615989,-0.05425587433240846,
1990-03-13,-0.0733664246809381,,,,0.1135317213510826,,,,,,0.09921386522232034,,,,0.14044249793756436,,0.15026822429250217,,0.1170981807210352,0.11917227562071192,0.08540254545127486,
1990-03-14,-0.1523526285010668,,,,0.019474327341580847,,,,0.00036584340828199055,,0.004205573163710341,,,,-0.035227694416071424,,0.010754305973006287,,-0.014598820707310896,-0.002634804223470234,-0.00664979817695108,
1990-03-15,0.030921162119532917,,,,-0.20449827007323945,,,,-0.19312026543660818,,-0.1915081690275908,,,,-0.18082103418396006,,-0.20367068804310529,,-0.20083125613657643,-0.2344097831648342,-0.21805423833082258,
1990-03-16,-0.18814451531646953,,,,-0.17900615396530037,,,,-0.15793605260558446,,-0.1907759461737907,,,,-0.17320712671621066,,-0.22348211089605902,,-0.167151445822029,-0.18287965626318164,-0.16055600222661168,
1990-03-19,0.07801231056731431,,,,0.1002647082465147,,,,0.08052013947013825,,0.11073500811899795,,,,0.022960684831549234,,0.13022869646737212,,0.14630256573026826,0.03955235778742901,0.12345260786765777,
1990-03-20,0.10985333769651352,,,,0.016600141322332597,,,,0.03667753758019748,,0.03327828608232572,,,,0.013749676222510988,,0.02890549876244231,,0.01838216905775344,0.0012233825764603064,0.016145009037678855,
1990-03-21,0.1384644188052749,,,,0.17590430020689407,,,,0.1549277054493492,,0.20970750144437417,,,,0.1166785439570745,,0.1649157851580709,,0.11710564523041536,0.15442368566321496,0.1728798481877482,
1990-03-22,-0.2579106431136894,,,,0.030847167786906538,,,,0.027188804853360258,,0.03798247461283032,,,,0.010047258414333978,,0.022322350544060694,,0.06035778214460395,0.032286878479617614,0.06623955020699951,
1990-03-23,0.027805774735022437,,,,0.01801896699617836,,,,0.014991820175241841,,0.02475080420779985,,,,0.1314812017877553,,0.07260968581818668,,-0.00562434074073475,0.1075738828493091,0.01172233994752697,
1990-03-26,-0.134104378666126,,,,-0.08340351784767379,,,,-0.042414437237736996,,-0.053902164733265194,,,,-0.028952926320206077,,-0.028516615020492457,,-0.10734283345768979,-0.015057236278891176,-0.033860496700631064,
1990-03-27,0.048379869980970415,,,,0.11771993107745338,,,,0.14098704709102916,,0.13725805716747091,,,,0.047024122120004355,,0.10021808370777625,,0.06776514825345273,0.06439352303716088,0.12445269177968966,
1990-03-28,0.23777341395849455,,,,0.08448494398437674,,,,0.11153270542596598,,0.08568318660786853,,,,0.09026478201548864,,0.09306390825602662,,0.06361415454595501,0.10663087625693671,0.0651171116036452,
1990-03-29,0.34124493680846474,,,,0.11309874141396999,,,,0.12911422818022733,0.12357595905950639,0.10903823979148662,,,,0.07422013711045776,,0.07641962602289738,,0.07276017811546445,0.09952309366293635,0.14032240764410664,
1990-03-30,-0.2506748919752828,,,,0.0678108462778691,-0.09334806924305945,,,0.028786516630013914,0.05875920231479183,0.03778097721235304,,,,0.1299766044806089,,0.04896291070018358,,0.0949548127069732,0.05973650171761819,0.05057911719818795,
1990-04-02,-0.2779979118041101,,,,-0.045752860610022726,-0.0024286001984252193,,,-0.0484615155841382,-0.02664515113941076,-0.04638509191661244,,,,0.053142097360627326,,-0.06981517732695759,,-0.011811098209588292,-0.010651336725340707,-0.032820469540887416,
1990-04-03,0.044371152233979305,,,,-0.054705287072002756,0.08186901566717915,,,-0.007586715066160146,-0.016278758745772896,-0.047716675372450466,,,,0.008686489893447717,,-0.06976264944588695,,-0.03778389193776394,-0.05237731396712239,-0.028510072910665683,
1990-04-04,-0.005531452887859653,,,,-0.14363586662792993,0.08652591850531031,,,-0.10988659648006302,-0.13100048516531845,-0.14074831448159522,,,,-0.16634814928415953,,-0.12585347664506247,,-0.10118713592479155,-0.15073042038851278,-0.15734982816871765,
1990-04-05,0.1793741068101009,,,,-0.24283525670298536,0.1680715923674626,,,-0.22871298501474147,-0.21571732625795512,-0.2508475242985956,,,,-0.2180208216821484,,-0.20336055063016625,,-0.21593905965252116,-0.2965590603834178,-0.24469004552201476,
1990-04-06,-0.14991102736704726,,,,0.06845130310047486,-0.029288949899546234,,,0.03379768627193573,0.07382133870148967,0.05602320502949394,,,,0.06695960151902548,,0.09858000526289858,,0.034716090851582136,0.06715315975944665,0.0700578724693375,
1990-04-09,-0.1609456634850814,,,,-0.015432165629161223,0.005211895634405591,,,-0.011613195073473389,-0.013006312177006794,-0.032910404294944864,,,,-0.005201253467139512,,-0.044171130071462256,,0.059903995823016865,-0.06283913100630657,-0.029874442486679493,
1990-04-10,-0.14146183830289008,,,,-0.03178523601543432,-0.021083351744627936,,,-0.021703767219618725,-0.004318087023672351,-0.01730991390314341,,,,-0.019395985046262058,,-0.05526249230200351,,-0.022687043267715062,-0.014667021278048429,-0.003780137363288326,
1990-04-11,-0.18886147723130173,,,,-0.11232024251062385,0.058927876758816396,,,-0.12292157383985543,-0.0965262801982411,-0.11920562255878525,,,,-0.05934880465739769,,-0.09451433062328286,,-0.029959833286767483,-0.09567231827100744,-0.11074399049829639,
1990-04-12,0.25203364674814116,,,,0.12872650127633492,-0.14589126572938527,,,0.1522255530303898,0.13176750325730094,0.13621620436654452,,,,0.1066697253363353,,0.08384846990744774,,0.08709050260829439,0.17258660617925042,0.12335714011681788,
1990-04-16,-0.048529560992778595,,,,0.014948037770505608,-0.03834026538655787,,,0.0016364446320507927,0.0287856500878418,0.021922455562800962,,,,-0.006197372687731988,,-0.018382518761858587,,-0.008375811060881111,0.03625119766570277,0.05572677523402327,
1990-04-17,0.32122733923515634,,,,0.1569279142022471,-0.07045152166609168,,,0.16251974307726694,0.16383728450490528,0.1606231650177749,,,,0.24038634583812332,,0.1083491799048463,,0.1507739463219111,0.2538515470819406,0.17676463266326542,
1990-04-18,0.10167332110470895,,,,0.09939405104783618,0.030963403312244602,,,0.19620632805754035,0.1389359566971926,0.11700296571990804,,,,0.08926184380507765,,0.04440549682258969,,0.05141587821729894,0.0972498451305203,0.1440394534383227,
1990-04-19,0.21542252287785038,,,,0.05237601428213032,0.11808828581659801,,,0.02588987384708506,0.0737514182081521,0.04657348867042674,,,,-0.007899583660487266,,0.026949798476727734,,0.04264209742360758,0.0293469545493772,0.07826297823160352,
1990-04-20,-0.0020572304822996748,,,,0.03770131191965969,-0.0002244576317196991,,,0.08775801894240196,0.06514193293955464,0.0433024602438185,,,,0.09745472905533654,,0.03460681389948719,,0.06114580155926536,0.052479766990211514,0.05943184883338915,
1990-04-23,-0.0008252748723190843,,,,-0.026091392808868966,-0.05938654942376387,,,-0.0003336432130201571,-0.06972525429722816,-0.0336604296535711,,,,-0.0334336985566861,,-0.07452189546476416,,-0.1257472594016172,-0.053459234765091165,-0.05885272112418188,
1990-04-24,-0.14969653508475805,,,,0.12799809581335433,0.1089535654927394,,,0.10341028619905317,0.1954292507681971,0.09951121911632684,,,,0.0962326341397146,,0.13321261924157163,,0.17978386337451582,0.11258586396515363,0.14790779636920143,
1990-04-25,-0.07204756404060099,-0.13275291543754306,,,-0.00854106414217953,0.06093567336655631,,,0.057130772701127985,0.05295603015510718,-0.0048355910227100675,,,,-0.03600937148401393,,-0.057322310518561535,,-0.00836996775116905,-0.030643750582642133,0.025271109822591484,
1990-04-26,0.20472493237020997,-0.054650450081378386,,,-0.19242685023992426,0.045467060459033266,,,-0.15630061513668714,-0.17666247431141063,-0.20264389800697571,,,,-0.09397744644229694,,-0.13213349460423476,,-0.07464450683247574,-0.14288616941690985,-0.21724508456472036,
1990-04-27,-0.2465051962146337,-0.14769483501194192,,,-0.055043007550699435,0.029544225576347297,,,0.026044785883475308,-0.0826187693955708,-0.047321649432443345,,,,0.0010510841663568544,,-0.020721201505606655,,-0.026388571435858574,-0.03565143073879579,-0.04241305467454738,
1990-04-30,-0.09535655532045932,0.008457809857092916,,,-0.025367246971880954,0.011599773992684878,,,-0.030318473298401778,-0.024110278307349835,0.004487193841330123,,,,-0.11879773805789853,,-0.029450209979901644,,-0.020528341832835785,-0.04732390670843786,-0.015202761109230844,
1990-05-01,-0.24561152608434758,0.05111224880888093,,,-0.03547861871281363,-0.02905807532026485,,,-0.031702212473368435,-0.044662412790013636,-0.03449281555095976,,,,-0.011919224454957723,,-0.06674740399656291,,-0.1067769364924304,-0.07985918424970974,-0.03076256153796269,
1990-05-02,-0.04032536114292062,-0.13432350470936816,,,0.014346984787481597,-0.028848111193307664,,,-0.02224280267590446,-0.011483683012201077,-0.004059255028867962,,,,0.016736589687894335,,-0.058527061508102655,,-0.02197021725030378,0.03820852376562165,0.006939989019244921,
1990-05-03,-0.06727704880484614,-0.04562331712372569,,,0.12991190418833107,-0.07893598485240562,,,0.061825823956297654,0.10503439497260596,0.10903247833125217,,,,0.0930133189145848,,0.044964947123290154,,0.03706707845437154,0.12095335468520273,0.12421051165511376,
1990-05-04,-0.05645376855208431,0.02568758498581371,,,-0.10897582131761872,-0.006679431482884124,,,-0.08668631727931567,-0.06852645627133762,-0.12432332821679032,,,,0.02024101134073157,,-0.08745509582398946,,-0.03716091622365913,-0.03301704735804551,-0.10821793277744535,
1990-05-07,0.028832241287273446,-0.12402547053575964,,,0.0662297653782333,0.09952362398464266,,,0.08711681145657497,0.0962023347597036,0.09341752425468017,,,,0.0663916574321299,,0.11630412524903583,,0.09193815452027129,0.09102628054167901,0.0994537838575611,
1990-05-08,0.002320590759769912,0.10291682884560245,,,-0.0007778059433069119,-0.006341035324116533,,,0.04568531362710075,0.016822554698384472,0.006435906074766535,,,,0.04473457730069002,,-0.006976904633491567,,-0.07049803729456501,0.04629934392473242,0.05264623067495601,
1990-05-09,-0.11884754917598186,-0.03405125108090948,,,-0.03889333730264751,-0.10421497997782361,,,-0.07417519394439888,-0.07243651009580845,-0.07006010919910012,,,,-0.013908367410226821,,-0.07419236922384684,,0.021312567176120012,-0.013026528004480526,-0.10384837317203405,
1990-05-10,-0.12905638411979525,-0.007369824764706089,,,-0.1015222796190362,-0.003984866541063644,,,-0.03514324434533287,-0.042164083304089446,-0.07899933400218437,,,,0.068183928769703,,-0.08987900436619785,,-0.05091723589311724,0.02283759642410657,-0.06086866208255365,
1990-05-11,-0.0005012610988246871,0.136356564833502,,,0.19405414167721877,-0.11653842088478393,,,0.15097389192098687,0.2256636148804101,0.14918540805965483,,,,0.17316321726967915,,0.21601505172823723,,0.1952212741976205,0.14878224828360206,0.18216194652125078,
1990-05-14,-0.04280389263142427,-0.12491987091700807,,,0.06082379704384181,0.009895894283017135,,,0.051735382827639884,-0.003565621664204831,0.04964647060305103,,,,0.10607899907831207,,0.01629146911596798,,-0.04327698931943175,0.09857963066151676,-0.018438168917489412,
1990-05-15,-0.011359289296565862,0.1296904502456383,,,0.17176154710638722,-0.03478232615544568,,,0.1311514564168371,0.12644546778143892,0.14098518423749526,,,,0.19013860279262476,,0.11382361778636477,,0.08066214452228256,0.1899433835335615,0.14320572284078462,
1990-05-16,-0.021582974091326985,-0.06545890808443372,,,0.04882110585888712,-0.1334880320699162,,,0.06747696385827674,-0.0013879362886726524,0.03380951031214708,,,,0.07044870756850474,,-0.05957452448426935,,0.004735990949351968,0.14875799474740797,0.04808702459497197,
1990-05-17,0.08133210129081513,0.04974207883907369,,,0.04274329848912374,0.07020494833696371,,,0.07168544977980758,0.005994985074373811,0.03326528634728606,,,,-0.06634117213223241,,-0.026289878242445417,,-0.026306003188054813,0.022216140422686763,0.03574348639239796,
1990-05-18,-0.23870867975623541,-0.1712720781934933,,,-0.08945289074456085,0.09228476756420279,,,-0.03805911881243203,-0.16379476647677543,-0.09563758631787125,,,,-0.06546943347053617,,-0.14995580059308486,,-0.16587019299794736,-0.08438442985449172,-0.10566370679994921,
1990-05-21,0.13719315310044392,0.1460134771132845,,,0.16481651305531958,-0.1196349362852757,,,0.17554097288760762,0.14075011889397276,0.17026779227331743,,,,0.1421697098540869,,0.1653615279584357,,0.2042699829173617,0.11066274599160689,0.16110611429078608,
1990-05-22,-0.19470150941523034,-0.18321073039205027,,,-0.19823711023660096,0.1701473478006931,,,-0.10081198502972126,-0.21376282550387143,-0.18081799390509595,,,,-0.1945429617693727,,-0.2265901412623266,,-0.20082634183132217,-0.178029918306032,-0.18066726225370783,
1990-05-23,0.21175186041048838,-0.013846669537257095,,,0.06653554496851932,-0.06099739031227696,,,0.025152307474899733,0.060794891895441606,0.05732425722256188,,,,-0.02392426698902253,,0.08555834969031517,,0.052202189217937824,-0.015555051869611916,0.06571567473228669,
1990-05-24,0.1260254762013265,0.18972059698365948,,,0.11583034380090192,-0.08163222138308088,,,0.14144543654294428,0.14852176530324263,0.11674105267515059,,,,0.17079645549791497,,0.07826824377198503,,0.07903798304290391,0.16855016978902307,0.11280673928747939,
1990-05-25,-0.45510090700019884,-0.10086064737876414,,,-0.059434486125426546,0.05933349114301576,,,-0.030965620028363644,-0.08305298904358312,-0.045895333720839704,,,,-0.07309403021615295,,-0.011142021693217196,,-0.021259130986085815,-0.06843968315065847,-0.08197572172529646,
1990-05-29,0.17166131374496021,0.007304873918980388,,,0.007501982782813788,-0.08123590696388115,,,0.14093043403266262,0.06038676703030938,0.023840216203537594,,,,0.07354885578744849,,-0.02534806221188409,,0.0023813700073698984,-0.010967689422513922,0.07458278011889613,
1990-05-30,-0.1142919831588079,-0.04640675797851793,,,-0.02662553976001064,0.04963052857498217,,,0.014866255925300578,-0.025048002189237837,-0.04205143157079307,,,,-0.0020380535896493664,,-0.06210658224085707,,0.0026805124788471467,0.006048186069779202,-0.011249061097007936,
1990-05-31,0.02858303520830507,0.043868652023633645,,,0.15945891553756883,-0.008313509273015902,,,0.18358263213666406,0.16115140118831298,0.15369655528142212,,,,0.21763945964773757,,0.12731514181156428,,0.18706476914342754,0.17717844484905018,0.15263015987165965,
1990-06-01,-0.044089436946532216,0.09594360048996756,,,-0.037933647496602795,-0.1432092061144494,,,-0.010672522704663798,-0.029043592144446413,-0.0811620572840286,,,,0.016895394189831024,,-0.09416890204414076,,-0.02396870870440783,0.025609781622714104,-0.03876253252616265,
1990-06-04,0.2491923506733935,-0.1275501704657091,,,0.13161166073062094,-0.03387622727484368,,,0.12223861249448396,0.1331875579026331,0.15731316428221997,,,,0.042409782019024275,,0.11860448707402989,,0.051764243034112346,0.03611410559214505,0.13758302176425447,
1990-06-05,-0.08708858403910279,0.08467126068225801,,,0.19484453262700346,-0.08928398761544491,,,0.14202386172493603,0.20032326817413254,0.20947732759732607,,,,0.19296775154192425,,0.19461056586799355,,0.24223230582953642,0.23123340985763952,0.18551590562330184,
1990-06-06,0.19001303147014337,0.022861436975695454,,,0.05991108442947465,-0.1411267684309926,,,0.11177549646770371,0.0707392733023751,0.05748921071504331,,,,-0.06348128874619934,,0.04462600369145425,,0.004941609065486428,0.0013001168557859042,0.05419843717614434,
