date,pc02_13f0c273,pc02_2cb23f53,pc02_41106d45,pc02_5da7f100,pc02_65e59330,pc02_89eebf33,pc02_957cf869,pc02_e414307c,pc04_0fbdb525,pc04_1d7cc51d,pc04_36542b14,pc04_47baed91,pc04_719e552f,pc04_8182227a,pc04_8cab4e53,pc04_d0599384,pc06_1095378b,pc06_382bfd97,pc06_3dc13ec8,pc06_42d80ba8,pc06_6e6a54f5,pc06_6e72d0cb,pc06_8dd76053,pc06_d42d99c9,pc08_1ec31ca0,pc08_2fb781ea,pc08_3938a916,pc08_85ea6acf,pc08_88202fb1,pc08_9eeb2f9f,pc08_cd6b36af,pc08_eb8da191,pc10_212d3d63,pc10_3c7aced3,pc10_500c705d,pc10_7c92e6e0,pc10_7cd55e6a,pc10_b889a242,pc10_eb8e5e74,pc10_f648f3ac,pc15_0c518bc0,pc15_1b2d1605,pc15_345b0768,pc15_3d15d87b,pc15_7964c8d3,pc15_9fa5ef27,pc15_ba6c85ad,pc15_c6a32ce4,pc20_3970c488,pc20_478986db,pc20_4da74bbf,pc20_50da8854,pc20_79f26d9f,pc20_96d10e45,pc20_9e60ff56,pc20_b63ae55e
1990-01-09,,,,0.14710864302837273,,,,,,,0.1667816388714527,,,,,,0.18973384738856441,,,,,,,,,,,,0.20981015853793566,,,,,0.2309649020195996,,,,,,,0.28264480542911,,,,,,,,,,,,,,0.34189726157142175,
1990-01-10,,,,-0.06701735525361474,,,,,,,-0.04957914222913239,,,,,,-0.031371527244598504,,,,,,,,,,,,-0.011723891676216519,,,,,0.013999382012140054,,,,,,,0.07942256925532297,,,,,,,,,,,,,,0.13847173001800972,
1990-01-11,,,,0.06543453520940058,,,,,,,0.08511742221635213,,,,,,0.10451946275181373,,,,,,,,,,,,0.12502720098175876,,,,,0.15081708569664048,,,,,,,0.2052390558626713,,,,,,,,,,,,,,0.2634010824941451,
1990-01-12,,,,-0.12524702005766092,,,,,,,-0.10723334639595178,,,,,,-0.08586421389614948,,,,,,,,,,,,-0.06219643554400415,,,,,-0.041800379413771876,,,,,,,0.018894327894313136,,,,,,,,,,,,,,0.08551244066605923,
1990-01-15,,,,0.3565480749428254,,,,,,,0.3711798035291535,,,,,,0.38634018323381597,,,,,,,,,,,,0.40441296429663276,,,,,0.4244010414746266,,,,,,,0.4718733559948012,,,,,,,,,,,,,,0.5239208365401403,
1990-01-16,,,,-0.10733861985511552,,,,,,,-0.08812037159613195,,,,,,-0.07086018479252668,,,,,,,,,,,,-0.046405363567735225,,,,,-0.027587623936332305,,,,,,,0.0341462225807631,,,,,,,,,,,,,,0.09907199893550875,
1990-01-17,,,,0.11614826772187377,,,,,,,0.13671755671160138,,,,,,0.15537042640305906,,,,,,,,,,,,0.17543437802112657,,,,,0.19821282601643506,,,,,,,0.2559105854279204,,,,,,,,,,,,,,0.31419314114092844,
1990-01-18,,,,0.06335768135272021,,,,,,,0.08047841019650823,,,,,,0.10140438687430829,,,,,,,,,,,,0.12268305827649807,,,,,0.143449643271492,,,,,,,0.19999536364146864,,,,,,,,,,,,,,0.2572941235394265,
1990-01-19,,,,0.005852925945340811,,,,,,,0.023844653604060524,,,,,,0.04226747889372267,,,,,,,,,,,,0.06458222210827322,,,,,0.08727897987226256,,,,,,,0.14099948648212918,,,,,,,,,,,,,,0.20815418049527423,
1990-01-22,,,,0.027802495167488565,,,,,,,0.04537847112501547,,,,,,0.06300070427977077,,,,,,,,,,,,0.08405097405092893,,,,,0.10674373092310657,,,,,,,0.16775104903414287,,,,,,,,,,,,,,0.23529862887784264,
