alpha_id,model,theme,annualized_return,annualized_vol,sharpe_ratio,dsr_z_score,dsr,ic_execution,mean_rank_ic,ic_std,ic_information_ratio,ic_n_days,status,error
pc15_0c518bc0,claude-opus-5,short_term_reversal,64.0416,6.5965,9.7084,18.12,0.9999,open_t1,0.17002,0.14316,1.1876,9232,SURVIVED_PHASE_1,
pc15_1b2d1605,claude-opus-5,momentum,53.3462,6.6263,8.0507,28.13,0.9999,open_t1,0.16546,0.17365,0.9529,8985,SURVIVED_PHASE_1,
pc15_345b0768,claude-opus-5,volatility,48.0371,7.9131,6.0706,26.04,0.9999,open_t1,0.15708,0.19982,0.7861,9217,SURVIVED_PHASE_1,
pc15_3d15d87b,claude-opus-5,long_term_reversal,47.8855,5.1237,9.3459,14.85,0.9999,open_t1,0.15277,0.13977,1.0931,8481,SURVIVED_PHASE_1,
pc15_7964c8d3,claude-opus-5,trading_volume,49.3519,3.6279,13.6034,5.84,0.9999,open_t1,0.15359,0.07248,2.1192,9218,SURVIVED_PHASE_1,
pc15_9fa5ef27,claude-opus-5,nearness_to_the_52_week_high,44.8876,7.1964,6.2375,22.45,0.9999,open_t1,0.15612,0.17569,0.8886,8986,SURVIVED_PHASE_1,
pc15_ba6c85ad,claude-opus-5,liquidity,49.643,3.893,12.7519,58.44,0.9999,open_t1,0.15632,0.11926,1.3108,9217,SURVIVED_PHASE_1,
pc15_c6a32ce4,claude-opus-5,beta,48.6739,9.1668,5.3098,25.36,0.9999,open_t1,0.15087,0.24926,0.6053,9117,SURVIVED_PHASE_1,
pc20_3970c488,claude-opus-5,long_term_reversal,63.5553,5.1379,12.3699,14.7,0.9999,open_t1,0.2134,0.13647,1.5637,8481,SURVIVED_PHASE_1,
pc20_478986db,claude-opus-5,beta,66.8453,8.7377,7.6502,30.06,0.9999,open_t1,0.21048,0.24245,0.8681,9117,SURVIVED_PHASE_1,
pc20_4da74bbf,claude-opus-5,volatility,66.66,7.5284,8.8545,35.81,0.9999,open_t1,0.2177,0.19424,1.1208,9217,SURVIVED_PHASE_1,
pc20_50da8854,claude-opus-5,liquidity,68.0465,3.9302,17.3139,62.31,0.9999,open_t1,0.21926,0.11634,1.8847,9217,SURVIVED_PHASE_1,
pc20_79f26d9f,claude-opus-5,trading_volume,67.8908,3.7671,18.0219,6.3,0.9999,open_t1,0.21668,0.07168,3.0227,9218,SURVIVED_PHASE_1,
pc20_96d10e45,claude-opus-5,momentum,70.6823,6.3426,11.144,36.89,0.9999,open_t1,0.22516,0.16961,1.3275,8985,SURVIVED_PHASE_1,
pc20_9e60ff56,claude-opus-5,short_term_reversal,81.8151,6.4636,12.6579,17.34,0.9999,open_t1,0.23018,0.13927,1.6528,9232,SURVIVED_PHASE_1,
pc20_b63ae55e,claude-opus-5,nearness_to_the_52_week_high,62.7127,6.8408,9.1675,30.04,0.9999,open_t1,0.21646,0.1715,1.2622,8986,SURVIVED_PHASE_1,
